submission_timestamp,customer_name,customer_email,description,status,closed_timestamp,employee_name
1397989459,Brian Hudson,rduncan0@odnoklassniki.ru,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam,open,"",Robert Duncan
1406715443,Rose Hanson,kfox1@tripadvisor.com,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,open,"",Kathryn Fox
1395739410,Kimberly Perkins,fwest2@shutterfly.com,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer,closed,1417512210,Fred West
1411795401,Rachel Ruiz,rellis3@cyberchimps.com,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,open,"",Rebecca Ellis
1415501380,Judy Hunter,bhudson4@digg.com,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,open,"",Benjamin Hudson
1401993956,Mildred Howell,clynch5@indiatimes.com,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,open,"",Catherine Lynch
1411728520,Debra Wagner,kalexander6@buzzfeed.com,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,closed,1417085320,Kathleen Alexander
1411953245,Ruby Boyd,ecarpenter7@cam.ac.uk,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,open,"",Earl Carpenter
1403086945,Jeffrey Parker,mjames8@cbslocal.com,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,open,"",Martin James
1406665506,Kenneth Perez,harmstrong9@alibaba.com,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,open,"",Harry Armstrong
1398561077,Carol Morris,bperrya@salon.com,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,closed,1404522677,Bruce Perry
1417851598,Tina Patterson,bwilsonb@dropbox.com,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,open,"",Brian Wilson
1406862966,Jean Austin,hhenryc@flavors.me,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,open,"",Harry Henry
1411406407,Janet Taylor,khunterd@wikia.com,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,closed,1435771207,Kathy Hunter
1412933684,David Fields,awarrene@4shared.com,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,open,"",Alice Warren
1418886935,Kathryn Mcdonald,wcastillof@ebay.com,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,closed,1429514135,William Castillo
1416423736,Gerald Fox,mfoxg@redcross.org,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,closed,1432666936,Mark Fox
1399673486,Carl Anderson,fortizh@youtube.com,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit,closed,1405030286,Frances Ortiz
1397029545,Lori Fuller,kmontgomeryi@blog.com,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,closed,1423899945,Kathryn Montgomery
1405828433,Nicholas Porter,agardnerj@gmpg.org,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,closed,1416887633,Annie Gardner
1418327290,Ernest Wright,jadamsk@sogou.com,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,closed,1445024890,Jessica Adams
1414775297,Judy Diaz,nfullerl@auda.org.au,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,closed,1428167297,Norma Fuller
1401062394,Bobby Davis,tgordonm@nifty.com,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,open,"",Tammy Gordon
1418294434,Pamela Weaver,arossn@zimbio.com,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,open,"",Ann Ross
1406455689,Jason Perez,cgordono@arizona.edu,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,open,"",Craig Gordon
1395440440,Johnny Alexander,msanchezp@posterous.com,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,closed,1408918840,Mark Sanchez
1416534495,Nancy Stewart,hmendozaq@qq.com,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,open,"",Henry Mendoza
1414219782,Joe Stevens,cjamesr@army.mil,a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,closed,1443854982,Cynthia James
1404303300,Anna Gonzales,epattersons@moonfruit.com,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec,closed,1407500100,Earl Patterson
1408613676,Gregory Medina,imarshallt@soundcloud.com,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,open,"",Irene Marshall
